[36m2025-12-26 01:19:43,623[0m - [32m__main__[0m - ERROR - Failed to register with STUN server. Exiting.
2025-12-26 02:32:18,538 - client.tcp_handler - ERROR - Peer 'mmd04' not connected
2025-12-26 02:32:28,316 - client.tcp_handler - ERROR - Peer 'mmd04' not connected
2025-12-26 02:32:42,345 - client.tcp_handler - INFO - ✅ Connected to 127.0.0.1:5001
2025-12-26 02:32:42,344 - client.tcp_handler - INFO - 🔗 New connection from ('127.0.0.1', 59968)
2025-12-26 02:32:42,347 - client.tcp_handler - INFO - 🤝 Handshake complete with mmd05
2025-12-26 02:32:45,141 - client.tcp_handler - ERROR - Peer 'mmd04' not connected
2025-12-26 02:32:51,908 - client.tcp_handler - ERROR - Peer 'mmd04' not connected
2025-12-26 02:47:28,217 - client.tcp_handler - INFO - 👋 Connection closed with mmd05
2025-12-26 02:47:32,266 - client.tcp_handler - ERROR - Error receiving: [WinError 10054] An existing connection was forcibly closed by the remote host
2025-12-26 03:12:25,956 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2025-12-26 03:12:28,047 - client.network - INFO - Registered as 'user01' with STUN server
2025-12-26 03:12:28,051 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5000
2025-12-26 03:12:46,125 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2025-12-26 03:12:48,204 - client.network - INFO - Registered as 'user02' with STUN server
2025-12-26 03:12:48,206 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5001
2025-12-26 03:13:06,846 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2025-12-26 03:13:08,910 - client.network - INFO - Registered as 'user03' with STUN server
2025-12-26 03:13:08,912 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5002
2025-12-26 03:14:33,349 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 50246)
2025-12-26 03:15:10,872 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 49969)
2025-12-26 03:16:50,627 - client.file_transfer - INFO - Sending file: test.txt (42 bytes)
2025-12-26 03:16:50,628 - client.file_transfer - INFO - File sent successfully: test.txt
2025-12-26 03:17:00,615 - client.file_transfer - INFO - Receiving file: test.txt
2025-12-26 03:17:00,615 - client.file_transfer - INFO - Saving to: ./received_files\test_1.txt
2025-12-26 03:17:00,616 - __main__ - ERROR - Error receiving file data: Extra data: line 1 column 121 (char 120)
2025-12-26 03:17:00,616 - client.file_transfer - ERROR - Missing chunk 0
